Website category,Credential,age_18_29 Total #,age_18_29 Accept #,age_18_29 Accept %,age_50_plus Total #,age_50_plus Accept #,age_50_plus Accept %,Difference %,Chi2 Value,p-Value
Pharmacy,Bank credentials,481,85,17.67%,264,42,15.91%,1.76%,0.37,0.5406
Pharmacy,Birth certificate,481,22,4.57%,264,1,0.38%,4.20%,10.03,0.0015
Pharmacy,Diploma,481,3,0.62%,264,3,1.14%,-0.51%,0.56,0.6714
Pharmacy,Disability status,481,160,33.26%,264,50,18.94%,14.32%,17.28,0.0
Pharmacy,Driver's license,481,14,2.91%,264,3,1.14%,1.77%,2.41,0.1208
Pharmacy,Employment history,481,5,1.04%,264,0,0.00%,1.04%,2.76,0.1672
Pharmacy,Health insurance,481,381,79.21%,264,167,63.26%,15.95%,22.3,0.0
Pharmacy,Marriage certificate,481,5,1.04%,264,0,0.00%,1.04%,2.76,0.1672
Pharmacy,Medical records,481,276,57.38%,264,58,21.97%,35.41%,86.41,0.0
Pharmacy,Official Identity Document,481,258,53.64%,264,119,45.08%,8.56%,5.0,0.0254
Pharmacy,Prescriptions,481,420,87.32%,264,196,74.24%,13.08%,20.35,0.0
Pharmacy,Professional licenses,481,8,1.66%,264,3,1.14%,0.53%,0.33,0.7548
Pharmacy,University transcript,481,2,0.42%,264,0,0.00%,0.42%,1.1,0.5418
Pharmacy,Visa,481,5,1.04%,264,6,2.27%,-1.23%,1.78,0.2103
Online Doctors,Bank credentials,468,38,8.12%,258,15,5.81%,2.31%,1.31,0.253
Online Doctors,Birth certificate,468,55,11.75%,258,12,4.65%,7.10%,10.01,0.0016
Online Doctors,Diploma,468,10,2.14%,258,0,0.00%,2.14%,5.59,0.0171
Online Doctors,Disability status,468,267,57.05%,258,102,39.53%,17.52%,20.42,0.0
Online Doctors,Driver's license,468,12,2.56%,258,1,0.39%,2.18%,4.48,0.0394
Online Doctors,Employment history,468,16,3.42%,258,5,1.94%,1.48%,1.3,0.2545
Online Doctors,Health insurance,468,414,88.46%,258,204,79.07%,9.39%,11.58,0.0007
Online Doctors,Marriage certificate,468,6,1.28%,258,1,0.39%,0.89%,1.39,0.4312
Online Doctors,Medical records,468,430,91.88%,258,200,77.52%,14.36%,29.89,0.0
Online Doctors,Official Identity Document,468,302,64.53%,258,141,54.65%,9.88%,6.82,0.009
Online Doctors,Prescriptions,468,395,84.40%,258,183,70.93%,13.47%,18.6,0.0
Online Doctors,Professional licenses,468,9,1.92%,258,1,0.39%,1.54%,2.89,0.1068
Online Doctors,University transcript,468,6,1.28%,258,0,0.00%,1.28%,3.34,0.0944
