Website category,Credential,Europe Total #,Europe Accept #,Europe Accept %,China Total #,China Accept #,China Accept %,Difference %,Chi2 Value,p-Value
Job Platforms,Bank credentials,443,12,2.71%,471,19,4.03%,-1.33%,1.22,0.2687
Job Platforms,Birth certificate,443,17,3.84%,471,20,4.25%,-0.41%,0.1,0.754
Job Platforms,Diploma,443,317,71.56%,471,329,69.85%,1.71%,0.32,0.5712
Job Platforms,Disability status,443,79,17.83%,471,78,16.56%,1.27%,0.26,0.6103
Job Platforms,Driver's license,443,97,21.90%,471,89,18.90%,3.00%,1.27,0.2602
Job Platforms,Employment history,443,379,85.55%,471,390,82.80%,2.75%,1.29,0.2553
Job Platforms,Health insurance,443,18,4.06%,471,33,7.01%,-2.94%,3.75,0.0527
Job Platforms,Marriage certificate,443,11,2.48%,471,5,1.06%,1.42%,2.68,0.1015
Job Platforms,Medical records,443,14,3.16%,471,18,3.82%,-0.66%,0.3,0.5867
Job Platforms,Official Identity Document,443,252,56.88%,471,238,50.53%,6.35%,3.71,0.0542
Job Platforms,Prescriptions,443,5,1.13%,471,5,1.06%,0.07%,0.01,0.9224
Job Platforms,Professional licenses,443,321,72.46%,471,314,66.67%,5.79%,3.61,0.0573
Job Platforms,University transcript,443,181,40.86%,471,197,41.83%,-0.97%,0.09,0.7665
Job Platforms,Visa,443,69,15.58%,471,97,20.59%,-5.02%,3.87,0.0492
Air Travel,Bank credentials,479,155,32.36%,453,134,29.58%,2.78%,0.84,0.3593
Air Travel,Birth certificate,479,13,2.71%,453,7,1.55%,1.17%,1.51,0.2185
Air Travel,Diploma,479,4,0.84%,453,4,0.88%,-0.05%,0.01,0.9368
Air Travel,Disability status,479,97,20.25%,453,85,18.76%,1.49%,0.33,0.5671
Air Travel,Driver's license,479,34,7.10%,453,27,5.96%,1.14%,0.49,0.4827
Air Travel,Employment history,479,5,1.04%,453,3,0.66%,0.38%,0.4,0.5279
Air Travel,Health insurance,479,43,8.98%,453,28,6.18%,2.80%,2.59,0.1078
Air Travel,Marriage certificate,479,6,1.25%,453,4,0.88%,0.37%,0.3,0.5841
Air Travel,Medical records,479,20,4.18%,453,12,2.65%,1.53%,1.64,0.2009
Air Travel,Official Identity Document,479,373,77.87%,453,330,72.85%,5.02%,3.17,0.075
Air Travel,Prescriptions,479,11,2.30%,453,5,1.10%,1.19%,1.96,0.1612
Air Travel,Professional licenses,479,8,1.67%,453,3,0.66%,1.01%,2.03,0.1544
Air Travel,University transcript,479,3,0.63%,453,2,0.44%,0.18%,0.15,0.6995
Air Travel,Visa,479,210,43.84%,453,217,47.90%,-4.06%,1.55,0.2136
E-Commerce,Bank credentials,478,149,31.17%,444,150,33.78%,-2.61%,0.72,0.3972
E-Commerce,Birth certificate,478,9,1.88%,444,2,0.45%,1.43%,4.01,0.0453
E-Commerce,Diploma,478,6,1.26%,444,1,0.23%,1.03%,3.24,0.0718
E-Commerce,Disability status,478,10,2.09%,444,4,0.90%,1.19%,2.18,0.1394
E-Commerce,Driver's license,478,11,2.30%,444,5,1.13%,1.18%,1.86,0.1722
E-Commerce,Employment history,478,10,2.09%,444,2,0.45%,1.64%,4.83,0.028
E-Commerce,Health insurance,478,10,2.09%,444,2,0.45%,1.64%,4.83,0.028
E-Commerce,Marriage certificate,478,5,1.05%,444,1,0.23%,0.82%,2.4,0.1214
E-Commerce,Medical records,478,4,0.84%,444,0,0.00%,0.84%,3.73,0.0534
E-Commerce,Official Identity Document,478,70,14.64%,444,85,19.14%,-4.50%,3.33,0.0679
E-Commerce,Prescriptions,478,4,0.84%,444,0,0.00%,0.84%,3.73,0.0534
E-Commerce,Professional licenses,478,7,1.46%,444,7,1.58%,-0.11%,0.02,0.8893
E-Commerce,University transcript,478,9,1.88%,444,1,0.23%,1.66%,5.9,0.0152
E-Commerce,Visa,478,7,1.46%,444,6,1.35%,0.11%,0.02,0.8843
