Website category,Credential,Large Total #,Large Accept #,Large Accept %,Medium Total #,Medium Accept #,Medium Accept %,Difference %,Chi2 Value,p-Value
Pharmacy,Bank credentials,394,60,15.23%,405,67,16.54%,-1.31%,0.26,0.6113
Pharmacy,Birth certificate,394,17,4.31%,405,10,2.47%,1.85%,2.08,0.1489
Pharmacy,Diploma,394,6,1.52%,405,1,0.25%,1.28%,3.74,0.0657
Pharmacy,Disability status,394,96,24.37%,405,111,27.41%,-3.04%,0.96,0.3265
Pharmacy,Driver's license,394,9,2.28%,405,14,3.46%,-1.17%,0.98,0.3217
Pharmacy,Employment history,394,7,1.78%,405,2,0.49%,1.28%,2.95,0.103
Pharmacy,Health insurance,394,287,72.84%,405,291,71.85%,0.99%,0.1,0.7543
Pharmacy,Marriage certificate,394,4,1.02%,405,2,0.49%,0.52%,0.73,0.4454
Pharmacy,Medical records,394,182,46.19%,405,166,40.99%,5.21%,2.2,0.1379
Pharmacy,Official Identity Document,394,184,46.70%,405,199,49.14%,-2.44%,0.47,0.4909
Pharmacy,Prescriptions,394,337,85.53%,405,326,80.49%,5.04%,3.59,0.0581
Pharmacy,Professional licenses,394,10,2.54%,405,7,1.73%,0.81%,0.63,0.4278
Pharmacy,University transcript,394,4,1.02%,405,2,0.49%,0.52%,0.73,0.4454
Pharmacy,Visa,394,7,1.78%,405,3,0.74%,1.04%,1.73,0.2178
Online Doctors,Bank credentials,0,0,,0,0,,,nan,nan
Online Doctors,Birth certificate,0,0,,0,0,,,nan,nan
Online Doctors,Diploma,0,0,,0,0,,,nan,nan
Online Doctors,Disability status,0,0,,0,0,,,nan,nan
Online Doctors,Driver's license,0,0,,0,0,,,nan,nan
Online Doctors,Employment history,0,0,,0,0,,,nan,nan
Online Doctors,Health insurance,0,0,,0,0,,,nan,nan
Online Doctors,Marriage certificate,0,0,,0,0,,,nan,nan
Online Doctors,Medical records,0,0,,0,0,,,nan,nan
Online Doctors,Official Identity Document,0,0,,0,0,,,nan,nan
Online Doctors,Prescriptions,0,0,,0,0,,,nan,nan
Online Doctors,Professional licenses,0,0,,0,0,,,nan,nan
Online Doctors,University transcript,0,0,,0,0,,,nan,nan
Online Doctors,Visa,0,0,,0,0,,,nan,nan
Government,Bank credentials,681,161,23.64%,134,29,21.64%,2.00%,0.25,0.6167
Government,Birth certificate,681,329,48.31%,134,77,57.46%,-9.15%,3.75,0.0528
Government,Diploma,681,108,15.86%,134,18,13.43%,2.43%,0.5,0.4776
Government,Disability status,681,181,26.58%,134,37,27.61%,-1.03%,0.06,0.8049
Government,Driver's license,681,274,40.23%,134,57,42.54%,-2.30%,0.25,0.6198
Government,Employment history,681,114,16.74%,134,24,17.91%,-1.17%,0.11,0.7412
Government,Health insurance,681,227,33.33%,134,43,32.09%,1.24%,0.08,0.7798
Government,Marriage certificate,681,261,38.33%,134,57,42.54%,-4.21%,0.83,0.361
Government,Medical records,681,70,10.28%,134,14,10.45%,-0.17%,0.0,0.9532
Government,Official Identity Document,681,655,96.18%,134,130,97.01%,-0.83%,0.22,0.8043
Government,Prescriptions,681,46,6.75%,134,8,5.97%,0.78%,0.11,0.7385
Government,Professional licenses,681,128,18.80%,134,22,16.42%,2.38%,0.42,0.5161
Government,University transcript,681,65,9.54%,134,12,8.96%,0.59%,0.05,0.8311
Government,Visa,681,292,42.88%,134,62,46.27%,-3.39%,0.52,0.4692
International Ground Travel,Bank credentials,397,96,24.18%,407,107,26.29%,-2.11%,0.47,0.4914
International Ground Travel,Birth certificate,397,4,1.01%,407,8,1.97%,-0.96%,1.25,0.2627
International Ground Travel,Diploma,397,2,0.50%,407,4,0.98%,-0.48%,0.62,0.6865
International Ground Travel,Disability status,397,41,10.33%,407,50,12.29%,-1.96%,0.77,0.3811
International Ground Travel,Driver's license,397,73,18.39%,407,28,6.88%,11.51%,24.23,0.0
