Website category,Credential,Large Total #,Large Accept #,Large Accept %,Small Total #,Small Accept #,Small Accept %,Difference %,Chi2 Value,p-Value
Pharmacy,Bank credentials,394,60,15.23%,389,67,17.22%,-2.00%,0.57,0.4489
Pharmacy,Birth certificate,394,17,4.31%,389,7,1.80%,2.52%,4.17,0.0412
Pharmacy,Diploma,394,6,1.52%,389,5,1.29%,0.24%,0.08,0.7777
Pharmacy,Disability status,394,96,24.37%,389,99,25.45%,-1.08%,0.12,0.7257
Pharmacy,Driver's license,394,9,2.28%,389,7,1.80%,0.48%,0.23,0.6317
Pharmacy,Employment history,394,7,1.78%,389,3,0.77%,1.01%,1.57,0.3407
Pharmacy,Health insurance,394,287,72.84%,389,285,73.26%,-0.42%,0.02,0.8941
Pharmacy,Marriage certificate,394,4,1.02%,389,3,0.77%,0.24%,0.13,1.0
Pharmacy,Medical records,394,182,46.19%,389,157,40.36%,5.83%,2.71,0.0995
Pharmacy,Official Identity Document,394,184,46.70%,389,182,46.79%,-0.09%,0.0,0.9807
Pharmacy,Prescriptions,394,337,85.53%,389,319,82.01%,3.53%,1.79,0.1806
Pharmacy,Professional licenses,394,10,2.54%,389,8,2.06%,0.48%,0.2,0.6531
Pharmacy,University transcript,394,4,1.02%,389,1,0.26%,0.76%,1.77,0.3734
Pharmacy,Visa,394,7,1.78%,389,4,1.03%,0.75%,0.79,0.3737
Online Doctors,Bank credentials,0,0,,1143,76,6.65%,,,
Online Doctors,Birth certificate,0,0,,1143,87,7.61%,,,
Online Doctors,Diploma,0,0,,1143,15,1.31%,,,
Online Doctors,Disability status,0,0,,1143,553,48.38%,,,
Online Doctors,Driver's license,0,0,,1143,25,2.19%,,,
Online Doctors,Employment history,0,0,,1143,31,2.71%,,,
Online Doctors,Health insurance,0,0,,1143,977,85.48%,,,
Online Doctors,Marriage certificate,0,0,,1143,10,0.87%,,,
Online Doctors,Medical records,0,0,,1143,983,86.00%,,,
Online Doctors,Official Identity Document,0,0,,1143,655,57.31%,,,
Online Doctors,Prescriptions,0,0,,1143,894,78.22%,,,
Online Doctors,Professional licenses,0,0,,1143,19,1.66%,,,
Online Doctors,University transcript,0,0,,1143,8,0.70%,,,
Online Doctors,Visa,0,0,,1143,21,1.84%,,,
Government,Bank credentials,681,161,23.64%,406,95,23.40%,0.24%,0.01,0.9273
Government,Birth certificate,681,329,48.31%,406,198,48.77%,-0.46%,0.02,0.884
Government,Diploma,681,108,15.86%,406,78,19.21%,-3.35%,2.02,0.1557
Government,Disability status,681,181,26.58%,406,112,27.59%,-1.01%,0.13,0.7172
Government,Driver's license,681,274,40.23%,406,174,42.86%,-2.62%,0.72,0.3955
Government,Employment history,681,114,16.74%,406,75,18.47%,-1.73%,0.53,0.4659
Government,Health insurance,681,227,33.33%,406,144,35.47%,-2.13%,0.52,0.4727
Government,Marriage certificate,681,261,38.33%,406,165,40.64%,-2.31%,0.57,0.4496
Government,Medical records,681,70,10.28%,406,50,12.32%,-2.04%,1.07,0.3001
