Website category,Credential,Medium Total #,Medium Accept #,Medium Accept %,Small Total #,Small Accept #,Small Accept %,Difference %,Chi2 Value,p-Value
Pharmacy,Bank credentials,405,67,16.54%,389,67,17.22%,-0.68%,0.07,0.798
Pharmacy,Birth certificate,405,10,2.47%,389,7,1.80%,0.67%,0.42,0.5146
Pharmacy,Diploma,405,1,0.25%,389,5,1.29%,-1.04%,2.85,0.1166
Pharmacy,Disability status,405,111,27.41%,389,99,25.45%,1.96%,0.39,0.5319
Pharmacy,Driver's license,405,14,3.46%,389,7,1.80%,1.66%,2.12,0.1457
Pharmacy,Employment history,405,2,0.49%,389,3,0.77%,-0.28%,0.24,0.6806
Pharmacy,Health insurance,405,291,71.85%,389,285,73.26%,-1.41%,0.2,0.6556
Pharmacy,Marriage certificate,405,2,0.49%,389,3,0.77%,-0.28%,0.24,0.6806
Pharmacy,Medical records,405,166,40.99%,389,157,40.36%,0.63%,0.03,0.8571
Pharmacy,Official Identity Document,405,199,49.14%,389,182,46.79%,2.35%,0.44,0.5077
Pharmacy,Prescriptions,405,326,80.49%,389,319,82.01%,-1.51%,0.3,0.5856
Pharmacy,Professional licenses,405,7,1.73%,389,8,2.06%,-0.33%,0.12,0.7342
Pharmacy,University transcript,405,2,0.49%,389,1,0.26%,0.24%,0.3,1.0
Pharmacy,Visa,405,3,0.74%,389,4,1.03%,-0.29%,0.19,0.7203
Online Doctors,Bank credentials,0,0,,1143,76,6.65%,,,
Online Doctors,Birth certificate,0,0,,1143,87,7.61%,,,
Online Doctors,Diploma,0,0,,1143,15,1.31%,,,
Online Doctors,Disability status,0,0,,1143,553,48.38%,,,
Online Doctors,Driver's license,0,0,,1143,25,2.19%,,,
Online Doctors,Employment history,0,0,,1143,31,2.71%,,,
Online Doctors,Health insurance,0,0,,1143,977,85.48%,,,
Online Doctors,Marriage certificate,0,0,,1143,10,0.87%,,,
Online Doctors,Medical records,0,0,,1143,983,86.00%,,,
Online Doctors,Official Identity Document,0,0,,1143,655,57.31%,,,
Online Doctors,Prescriptions,0,0,,1143,894,78.22%,,,
Online Doctors,Professional licenses,0,0,,1143,19,1.66%,,,
