Credential,Own Credential #,Average Frequency of Use,Average Comfort,Not Fully Comfortable #,Average Still Share
Official Identity Document,1012,2.46,3.58,923,2.92
Driver's license,866,3.42,3.38,730,3.04
Birth certificate,876,4.42,3.92,789,3.15
Marriage certificate,262,4.33,3.82,232,3.05
Visa,330,3.45,3.6,290,3.09
Bank credentials,752,3.44,4.61,736,3.54
University transcript,628,3.86,2.98,453,2.4
Diploma,720,4.05,2.77,472,2.38
Employment history,494,3.53,3.09,374,2.18
Professional licenses,214,3.7,3.03,152,2.47
Health insurance,921,2.43,3.3,771,2.38
Prescriptions,733,2.62,3.44,649,2.41
Medical records,566,3.82,4.1,533,2.94
Disability status,51,3.2,3.59,46,2.5
