,Bank credentials,Birth certificate,Diploma,Disability status,Driver's license,Employment history,Health insurance,Marriage certificate,Medical records,Official Identity Document,Prescriptions,Professional licenses,University transcript,Visa
Pharmacy (Large),15.23,4.31,1.52,24.37,2.28,1.78,72.84,1.02,46.19,46.7,85.53,2.54,1.02,1.78
Pharmacy (Medium),16.54,2.47,0.25,27.41,3.46,0.49,71.85,0.49,40.99,49.14,80.49,1.73,0.49,0.74
Pharmacy (Small),17.22,1.8,1.29,25.45,1.8,0.77,73.26,0.77,40.36,46.79,82.01,2.06,0.26,1.03
Online Doctors (Large),,,,,,,,,,,,,,
Online Doctors (Medium),,,,,,,,,,,,,,
Online Doctors (Small),6.65,7.61,1.31,48.38,2.19,2.71,85.48,0.87,86.0,57.31,78.22,1.66,0.7,1.84
Government (Large),23.64,48.31,15.86,26.58,40.23,16.74,33.33,38.33,10.28,96.18,6.75,18.8,9.54,42.88
Government (Medium),21.64,57.46,13.43,27.61,42.54,17.91,32.09,42.54,10.45,97.01,5.97,16.42,8.96,46.27
Government (Small),23.4,48.77,19.21,27.59,42.86,18.47,35.47,40.64,12.32,95.32,8.87,20.44,10.34,42.61
International Ground Travel (Large),24.18,1.01,0.5,10.33,18.39,0.76,4.53,0.76,1.01,56.68,0.76,1.01,1.51,13.1
International Ground Travel (Medium),26.29,1.97,0.98,12.29,6.88,0.74,3.93,0.98,1.47,56.51,1.23,0.74,1.72,16.71
International Ground Travel (Small),23.33,0.25,1.24,9.93,4.96,0.99,3.47,0.25,0.99,49.38,0.74,1.24,1.74,15.38
Banks (Large),83.37,9.68,2.98,2.23,9.43,10.67,9.93,4.71,0.5,94.54,0.25,6.7,1.24,9.68
Banks (Medium),79.31,8.49,2.92,3.71,6.63,7.16,5.84,5.31,2.12,95.76,1.33,4.24,2.39,9.28
Banks (Small),78.09,10.58,3.02,4.79,9.07,12.09,9.32,5.54,2.27,95.21,0.76,6.3,2.27,12.09
Real Estate (Large),35.63,4.28,2.88,4.37,4.02,14.59,2.71,6.2,0.61,59.83,0.17,6.64,1.66,9.17
Real Estate (Medium),,,,,,,,,,,,,,
Real Estate (Small),,,,,,,,,,,,,,
University (Large),8.33,8.58,70.59,14.46,5.39,27.21,9.31,1.96,2.45,77.45,1.47,25.98,73.53,19.85
University (Medium),5.17,8.79,73.13,12.14,4.39,25.32,7.75,0.26,2.33,79.33,0.78,24.29,77.26,23.77
University (Small),6.57,6.81,68.86,10.46,3.16,21.9,4.87,1.22,1.95,72.51,0.73,22.38,74.45,18.98
News (Large),2.86,1.67,0.71,0.24,1.43,1.43,0.71,0.24,0.24,19.05,0.24,2.62,1.19,0.71
News (Medium),0.77,1.79,2.3,1.02,1.02,2.05,0.51,0.26,0.51,23.02,0.26,2.05,1.28,0.77
News (Small),2.56,1.79,1.03,0.77,2.31,1.28,0.51,0.0,0.51,17.69,0.51,1.28,0.51,0.77
Car Rentals (Large),32.96,2.07,0.64,12.26,88.69,0.96,8.44,0.64,2.23,72.61,0.64,2.39,0.48,16.08
Car Rentals (Medium),,,,,,,,,,,,,,
Car Rentals (Small),32.37,1.93,1.29,12.08,90.02,1.29,6.76,0.64,2.09,69.57,1.13,3.38,0.81,10.14
Video Games (Large),32.0,2.44,0.44,0.7,2.27,0.44,1.05,0.17,0.35,34.79,0.26,0.7,0.61,1.57
Video Games (Medium),,,,,,,,,,,,,,
Video Games (Small),,,,,,,,,,,,,,
Social Media (Large),2.44,2.44,1.31,0.44,2.7,1.13,0.52,0.26,0.61,38.33,0.26,2.0,0.44,0.61
Social Media (Medium),,,,,,,,,,,,,,
Social Media (Small),,,,,,,,,,,,,,
Encyclopedia (Large),2.2,0.98,9.76,0.49,0.98,2.93,0.49,0.49,0.73,12.68,0.49,4.39,8.29,0.73
Encyclopedia (Medium),1.76,1.26,8.82,0.5,1.76,4.03,1.01,0.76,0.5,13.6,0.5,8.31,5.79,1.01
Encyclopedia (Small),1.01,0.51,11.65,0.76,1.01,4.81,1.01,0.51,1.01,8.61,1.01,6.58,8.1,1.01
Search Engine (Large),0.77,1.02,1.53,0.77,1.53,3.06,1.02,1.02,1.02,10.46,1.02,2.55,1.79,1.53
Search Engine (Medium),1.02,0.76,1.02,0.51,0.76,0.76,0.76,0.51,0.76,8.12,0.51,0.76,0.76,1.02
Search Engine (Small),0.25,2.03,0.51,0.25,1.27,1.01,0.51,0.0,0.0,8.61,0.0,1.52,0.25,0.76
Payment Services (Large),79.53,4.15,0.95,1.55,7.6,3.02,5.53,1.73,0.95,89.12,0.6,2.33,0.86,6.39
Payment Services (Medium),,,,,,,,,,,,,,
Payment Services (Small),,,,,,,,,,,,,,
Job Platforms (Large),1.99,3.64,70.2,17.22,17.55,86.75,2.98,1.66,1.66,56.29,0.66,73.84,39.07,13.91
Job Platforms (Medium),3.69,3.02,69.8,16.11,21.14,83.56,4.03,2.01,4.03,56.38,1.34,69.46,32.89,12.75
Job Platforms (Small),3.43,3.69,69.53,15.17,18.73,82.98,5.94,1.19,3.56,50.79,0.92,69.0,41.03,18.87
Air Travel (Large),32.09,1.86,0.86,19.91,6.45,0.86,8.17,1.15,3.58,75.79,2.44,1.43,0.43,47.56
Air Travel (Medium),33.19,1.68,0.84,21.85,7.14,0.42,6.72,0.84,2.52,72.27,2.1,0.42,1.68,47.48
Air Travel (Small),31.89,3.69,0.43,17.57,7.81,0.87,7.16,1.3,3.69,71.58,1.3,1.3,0.43,38.83
E-Commerce (Large),35.73,0.76,0.87,1.09,1.85,1.09,0.98,0.33,0.22,20.59,0.33,1.2,0.98,1.53
E-Commerce (Medium),39.22,2.61,1.96,3.27,1.96,2.61,1.31,1.31,0.65,20.26,1.31,1.31,1.31,1.31
E-Commerce (Small),25.25,1.33,1.33,1.33,1.0,1.0,1.99,0.33,0.33,13.62,0.33,2.66,1.0,1.66
