,Pharmacy,Online Doctors,Government,International Ground Travel,Banks,Real Estate,University,News,Car Rentals,Video Games,Social Media,Encyclopedia,Search Engine,Payment Services,Job Platforms,Air Travel,E-Commerce
Bank credentials,16.33%,6.65%,23.34%,24.61%,80.29%,35.63%,6.72%,2.08%,32.67%,32.00%,2.44%,1.66%,0.68%,79.53%,3.17%,32.21%,33.82%
Birth certificate,2.86%,7.61%,49.47%,1.08%,9.60%,4.28%,8.04%,1.75%,2.00%,2.44%,2.44%,0.92%,1.27%,4.15%,3.53%,2.43%,1.09%
Diploma,1.01%,1.31%,16.71%,0.91%,2.97%,2.88%,70.81%,1.33%,0.96%,0.44%,1.31%,10.07%,1.02%,0.95%,69.73%,0.72%,1.09%
Disability status,25.76%,48.38%,27.03%,10.85%,3.57%,4.37%,12.35%,0.67%,12.17%,0.70%,0.44%,0.58%,0.51%,1.55%,15.83%,19.47%,1.38%
Driver's license,2.53%,2.19%,41.36%,10.02%,8.41%,4.02%,4.31%,1.58%,89.35%,2.27%,2.70%,1.25%,1.19%,7.60%,19.00%,7.02%,1.68%
Employment history,1.01%,2.71%,17.44%,0.83%,10.03%,14.59%,24.79%,1.58%,1.12%,0.44%,1.13%,3.91%,1.61%,3.02%,83.95%,0.79%,1.24%
Health insurance,72.64%,85.48%,33.91%,3.98%,8.41%,2.71%,7.30%,0.58%,7.61%,1.05%,0.52%,0.83%,0.76%,5.53%,4.86%,7.59%,1.24%
Marriage certificate,0.76%,0.87%,39.56%,0.66%,5.18%,6.20%,1.16%,0.17%,0.64%,0.17%,0.26%,0.58%,0.51%,1.73%,1.47%,1.15%,0.44%
Medical records,42.51%,86.00%,10.97%,1.16%,1.61%,0.61%,2.24%,0.42%,2.16%,0.35%,0.61%,0.75%,0.59%,0.95%,3.24%,3.44%,0.29%
Official Identity Document,47.56%,57.31%,95.99%,54.18%,95.16%,59.83%,76.37%,19.90%,71.10%,34.79%,38.33%,11.65%,9.06%,89.12%,53.24%,73.80%,19.02%
Prescriptions,82.66%,78.22%,7.37%,0.91%,0.76%,0.17%,1.00%,0.33%,0.88%,0.26%,0.26%,0.67%,0.51%,0.60%,0.96%,2.00%,0.44%
Professional licenses,2.10%,1.66%,19.08%,0.99%,5.78%,6.64%,24.21%,2.00%,2.88%,0.70%,2.00%,6.41%,1.61%,2.33%,70.18%,1.22%,1.53%
University transcript,0.59%,0.70%,9.75%,1.66%,1.95%,1.66%,75.04%,1.00%,0.64%,0.61%,0.44%,7.40%,0.93%,0.86%,38.81%,0.64%,1.02%
Visa,1.18%,1.84%,43.16%,15.08%,10.37%,9.17%,20.81%,0.75%,13.13%,1.57%,0.61%,0.92%,1.10%,6.39%,16.42%,44.67%,1.53%
