Website,Bank credentials,Birth certificate,Diploma,Disability status,Driver's license,Employment history,Health insurance,Marriage certificate,Medical records,Official Identity Document,Prescriptions,Professional licenses,University transcript,Visa
DocMorris,16.43%,5.71%,2.14%,21.43%,2.14%,2.14%,75.00%,1.43%,45.00%,45.71%,85.71%,2.86%,1.43%,1.43%
Redcare Pharmacy,19.53%,4.69%,1.56%,30.47%,1.56%,3.12%,69.53%,1.56%,50.00%,50.78%,86.72%,3.12%,1.56%,3.12%
NewPharma,9.52%,2.38%,0.79%,21.43%,3.17%,0.00%,73.81%,0.00%,43.65%,43.65%,84.13%,1.59%,0.00%,0.79%
Apotea,15.65%,3.48%,0.00%,30.43%,2.61%,0.87%,72.17%,0.00%,39.13%,48.70%,81.74%,1.74%,0.00%,0.00%
Pharmacy2U,16.11%,3.36%,0.00%,29.53%,3.36%,0.00%,78.52%,1.34%,46.31%,48.32%,83.89%,0.67%,0.67%,0.00%
Apteka Gemini,17.73%,0.71%,0.71%,22.70%,4.26%,0.71%,64.54%,0.00%,36.88%,50.35%,75.89%,2.84%,0.71%,2.13%
Farmacias,17.07%,1.63%,0.81%,28.46%,1.63%,0.00%,70.73%,0.81%,36.59%,45.53%,78.86%,2.44%,0.00%,1.63%
Farmacia Loreto Gallo,14.40%,1.60%,1.60%,20.80%,1.60%,1.60%,72.00%,0.80%,34.40%,41.60%,78.40%,1.60%,0.80%,0.80%
Euro-Pharmas,19.86%,2.13%,1.42%,26.95%,2.13%,0.71%,76.60%,0.71%,48.94%,52.48%,87.94%,2.13%,0.00%,0.71%
Homedoctor,5.43%,4.89%,1.09%,46.20%,2.17%,2.72%,89.67%,1.09%,87.50%,52.17%,81.52%,1.63%,1.09%,2.17%
Qare,5.32%,9.04%,1.06%,48.94%,0.53%,0.53%,86.70%,0.53%,86.70%,53.72%,78.72%,0.53%,0.53%,0.53%
Kry,6.78%,3.95%,1.69%,47.46%,1.69%,2.26%,84.18%,0.56%,86.44%,61.58%,79.10%,2.26%,0.56%,1.13%
Teleclinic,6.94%,6.48%,0.93%,49.07%,2.31%,3.24%,83.80%,0.46%,83.80%,60.65%,75.93%,1.85%,0.46%,1.39%
SoS Pediatra,7.30%,12.36%,1.12%,44.94%,2.81%,2.81%,83.71%,1.12%,86.52%,55.62%,76.40%,1.69%,0.56%,3.93%
Medgate,8.00%,9.00%,2.00%,53.00%,3.50%,4.50%,85.00%,1.50%,85.50%,59.50%,78.00%,2.00%,1.00%,2.00%
Official Government Website of Germany,26.97%,53.29%,15.79%,26.97%,40.13%,17.11%,31.58%,41.45%,8.55%,96.71%,7.89%,19.74%,9.21%,40.79%
Official Government Website of France,22.63%,48.18%,13.87%,27.74%,40.88%,13.87%,36.50%,42.34%,10.22%,95.62%,7.30%,18.25%,8.76%,45.26%
Official Government Website of Italy,24.60%,45.24%,19.84%,30.16%,46.83%,21.43%,41.27%,35.71%,15.87%,98.41%,11.90%,18.25%,11.11%,38.89%
Official Government Website of the UK,25.18%,48.92%,18.71%,27.34%,44.60%,15.83%,36.69%,42.45%,9.35%,97.12%,7.19%,19.42%,12.23%,47.48%
Official Government Website of Denmark,22.70%,52.48%,22.70%,27.66%,45.39%,21.28%,35.46%,46.81%,13.48%,94.33%,9.22%,26.24%,12.77%,43.97%
Official Government Website of the Netherlands,20.69%,42.24%,13.79%,26.72%,37.93%,18.10%,29.31%,29.31%,12.07%,97.41%,6.90%,18.10%,7.76%,34.48%
Official Government Website of Poland,21.64%,57.46%,13.43%,27.61%,42.54%,17.91%,32.09%,42.54%,10.45%,97.01%,5.97%,16.42%,8.96%,46.27%
