,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,Int. Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Official ID,25.0%,33.33%,0.0%,37.5%,25.0%,8.33%,37.5%,16.67%,8.33%,20.83%,66.66%,50.0%,54.16%,62.5%,20.83%
Driver'S License,83.33%,83.33%,8.34%,50.0%,75.0%,83.33%,66.67%,8.34%,66.66%,66.66%,79.17%,83.34%,79.17%,79.17%,79.16%
Birth Certificate,70.83%,66.67%,12.5%,75.0%,70.84%,87.5%,79.16%,91.67%,70.84%,75.0%,79.17%,75.0%,75.0%,75.0%,83.33%
Marriage Certificate,87.5%,83.33%,12.5%,79.17%,79.17%,87.5%,87.5%,95.83%,54.16%,66.66%,79.17%,83.34%,79.17%,79.17%,79.16%
Visa,91.66%,91.66%,16.66%,58.33%,45.83%,25.0%,54.17%,75.0%,58.33%,50.0%,79.17%,83.34%,79.17%,75.0%,70.84%
Bank Acc. Validation,62.5%,75.0%,50.0%,79.17%,62.5%,54.17%,66.67%,50.0%,12.5%,50.0%,54.17%,45.83%,79.17%,75.0%,20.84%
University Transcript,91.66%,95.83%,54.17%,29.17%,20.83%,95.83%,87.5%,95.83%,87.5%,79.17%,79.17%,87.5%,79.17%,79.17%,87.5%
Diploma,95.83%,95.83%,41.66%,16.67%,16.66%,95.83%,87.5%,95.83%,87.5%,79.17%,79.17%,87.5%,79.17%,79.17%,83.33%
Employment History,95.83%,87.5%,37.5%,12.5%,41.67%,95.83%,87.5%,91.66%,66.66%,70.83%,79.17%,87.5%,79.17%,75.0%,83.33%
Professional Licenses,87.5%,95.83%,29.17%,12.5%,50.0%,91.67%,87.5%,91.66%,83.34%,70.83%,79.17%,87.5%,79.17%,70.84%,83.33%
Health Insurance,16.67%,4.17%,37.5%,91.67%,79.17%,83.33%,83.34%,95.83%,87.5%,79.17%,83.34%,83.34%,79.17%,79.17%,87.5%
Prescriptions,8.33%,12.5%,75.0%,91.67%,91.66%,83.34%,87.5%,95.83%,91.66%,79.17%,83.34%,83.34%,79.17%,79.17%,87.5%
Medical Records,58.34%,8.33%,70.83%,91.67%,91.66%,95.83%,87.5%,95.83%,91.66%,79.17%,83.34%,83.34%,79.17%,79.17%,87.5%
Disability Status,50.0%,16.67%,20.83%,62.5%,45.84%,20.83%,37.5%,54.17%,83.34%,70.84%,79.17%,83.34%,79.17%,70.84%,79.16%
