,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,Int. Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Official ID,20.84%,29.16%,70.83%,41.67%,45.83%,62.5%,37.5%,41.66%,62.5%,54.16%,25.0%,37.5%,16.67%,16.67%,54.17%
Driver'S License,8.34%,8.33%,58.34%,37.5%,4.17%,8.33%,12.5%,66.67%,8.34%,4.17%,0.0%,0.0%,0.0%,0.0%,8.34%
Birth Certificate,16.67%,8.33%,58.34%,12.5%,8.33%,8.33%,4.17%,4.17%,8.34%,4.17%,4.17%,12.5%,0.0%,4.17%,8.34%
Marriage Certificate,8.33%,8.33%,50.0%,4.17%,4.17%,4.17%,0.0%,0.0%,20.83%,12.5%,0.0%,0.0%,0.0%,0.0%,8.34%
Visa,4.17%,0.0%,45.83%,33.33%,8.33%,58.34%,25.0%,25.0%,25.0%,16.67%,4.17%,4.17%,0.0%,0.0%,16.66%
Bank Acc. Validation,12.5%,16.67%,29.17%,12.5%,25.0%,25.0%,25.0%,37.5%,54.17%,25.0%,25.0%,29.17%,0.0%,4.17%,50.0%
University Transcript,0.0%,0.0%,29.17%,58.33%,54.17%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.17%
Diploma,0.0%,0.0%,33.34%,79.16%,54.17%,0.0%,0.0%,0.0%,4.17%,0.0%,0.0%,0.0%,0.0%,0.0%,8.34%
Employment History,0.0%,8.33%,33.33%,70.84%,25.0%,0.0%,0.0%,0.0%,12.5%,4.17%,0.0%,0.0%,0.0%,0.0%,8.34%
Professional Licenses,0.0%,4.17%,33.33%,70.83%,37.5%,0.0%,0.0%,4.17%,0.0%,4.17%,0.0%,0.0%,0.0%,4.17%,8.34%
Health Insurance,54.16%,66.67%,25.0%,4.17%,0.0%,8.33%,0.0%,0.0%,4.17%,0.0%,0.0%,0.0%,0.0%,0.0%,4.17%
Prescriptions,62.5%,66.66%,8.34%,4.17%,0.0%,0.0%,4.17%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.17%
Medical Records,50.0%,70.83%,12.5%,4.17%,0.0%,0.0%,4.17%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.17%
Disability Status,33.33%,58.33%,45.83%,25.0%,33.33%,62.5%,45.83%,33.34%,4.17%,4.17%,0.0%,4.17%,0.0%,8.33%,4.17%
