,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,60.00%,73.33%,46.67%,80.00%,60.00%,60.00%,66.67%,53.33%,13.33%,60.00%,60.00%,60.00%,86.67%,86.67%,26.67%
Birth certificate,53.33%,60.00%,6.67%,80.00%,66.67%,86.67%,73.33%,86.67%,66.67%,80.00%,80.00%,73.33%,80.00%,80.00%,93.33%
Diploma,93.33%,93.33%,33.33%,6.67%,13.33%,93.33%,86.67%,93.33%,86.67%,86.67%,86.67%,86.67%,86.67%,86.67%,93.33%
Disability status,33.33%,6.67%,13.33%,66.67%,46.67%,20.00%,33.33%,46.67%,86.67%,86.67%,86.67%,86.67%,86.67%,86.67%,93.33%
Driver's license,80.00%,80.00%,6.67%,46.67%,80.00%,80.00%,66.67%,6.67%,73.33%,73.33%,86.67%,86.67%,86.67%,86.67%,93.33%
Employment history,93.33%,86.67%,20.00%,6.67%,40.00%,93.33%,86.67%,93.33%,73.33%,80.00%,86.67%,86.67%,86.67%,86.67%,93.33%
Health insurance,6.67%,0.00%,33.33%,100.00%,86.67%,80.00%,86.67%,93.33%,86.67%,86.67%,86.67%,86.67%,86.67%,86.67%,100.00%
Marriage certificate,80.00%,73.33%,6.67%,86.67%,80.00%,86.67%,86.67%,93.33%,53.33%,73.33%,86.67%,86.67%,86.67%,86.67%,93.33%
Medical records,46.67%,0.00%,60.00%,100.00%,93.33%,93.33%,86.67%,93.33%,93.33%,86.67%,86.67%,86.67%,86.67%,86.67%,100.00%
Official Identity Document,20.00%,33.33%,0.00%,33.33%,20.00%,13.33%,33.33%,26.67%,13.33%,13.33%,73.33%,40.00%,53.33%,66.67%,33.33%
Prescriptions,0.00%,6.67%,66.67%,100.00%,93.33%,86.67%,86.67%,93.33%,93.33%,86.67%,86.67%,86.67%,86.67%,86.67%,100.00%
Professional licenses,86.67%,93.33%,20.00%,6.67%,40.00%,86.67%,86.67%,93.33%,86.67%,80.00%,86.67%,86.67%,86.67%,86.67%,93.33%
University transcript,93.33%,93.33%,46.67%,20.00%,13.33%,93.33%,86.67%,93.33%,93.33%,86.67%,86.67%,86.67%,86.67%,86.67%,100.00%
Visa,93.33%,93.33%,13.33%,53.33%,53.33%,6.67%,46.67%,73.33%,60.00%,60.00%,86.67%,86.67%,86.67%,86.67%,86.67%
