,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,13.33%,20.00%,40.00%,13.33%,26.67%,26.67%,26.67%,33.33%,66.67%,33.33%,26.67%,20.00%,0.00%,6.67%,60.00%
Birth certificate,26.67%,13.33%,66.67%,13.33%,13.33%,13.33%,6.67%,6.67%,6.67%,6.67%,6.67%,13.33%,0.00%,6.67%,6.67%
Diploma,0.00%,0.00%,46.67%,93.33%,66.67%,0.00%,0.00%,0.00%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,6.67%
Disability status,40.00%,80.00%,60.00%,33.33%,40.00%,73.33%,60.00%,46.67%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Driver's license,6.67%,13.33%,66.67%,53.33%,6.67%,13.33%,13.33%,80.00%,6.67%,6.67%,0.00%,0.00%,0.00%,0.00%,6.67%
Employment history,0.00%,13.33%,40.00%,86.67%,26.67%,0.00%,0.00%,0.00%,13.33%,6.67%,0.00%,0.00%,0.00%,0.00%,6.67%
Health insurance,73.33%,86.67%,20.00%,6.67%,0.00%,13.33%,0.00%,0.00%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Marriage certificate,13.33%,13.33%,60.00%,6.67%,6.67%,6.67%,0.00%,0.00%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,6.67%
Medical records,60.00%,93.33%,13.33%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Official Identity Document,26.67%,33.33%,80.00%,60.00%,60.00%,73.33%,53.33%,53.33%,80.00%,73.33%,13.33%,46.67%,20.00%,20.00%,66.67%
Prescriptions,73.33%,93.33%,6.67%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Professional licenses,0.00%,6.67%,33.33%,93.33%,46.67%,0.00%,0.00%,0.00%,0.00%,6.67%,0.00%,0.00%,0.00%,0.00%,6.67%
University transcript,0.00%,0.00%,40.00%,73.33%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Visa,0.00%,0.00%,53.33%,53.33%,13.33%,66.67%,26.67%,20.00%,26.67%,20.00%,0.00%,0.00%,0.00%,0.00%,13.33%
