,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,33.33%,33.33%,0.00%,0.00%,33.33%,33.33%,33.33%,33.33%,100.00%,66.67%,33.33%,33.33%,0.00%,33.33%,66.67%
Birth certificate,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Diploma,0.00%,0.00%,0.00%,33.33%,66.67%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Disability status,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Driver's license,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Employment history,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%
Health insurance,33.33%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Marriage certificate,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Medical records,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Official Identity Document,66.67%,33.33%,100.00%,33.33%,66.67%,33.33%,33.33%,66.67%,100.00%,66.67%,66.67%,33.33%,0.00%,33.33%,33.33%
Prescriptions,66.67%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Professional licenses,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
University transcript,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Visa,0.00%,0.00%,33.33%,0.00%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%
