,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,80.00%,80.00%,40.00%,80.00%,60.00%,60.00%,100.00%,60.00%,20.00%,40.00%,60.00%,20.00%,60.00%,40.00%,20.00%
Birth certificate,100.00%,80.00%,20.00%,80.00%,60.00%,80.00%,100.00%,100.00%,60.00%,80.00%,80.00%,100.00%,60.00%,60.00%,60.00%
Diploma,100.00%,100.00%,60.00%,40.00%,40.00%,100.00%,100.00%,100.00%,80.00%,80.00%,80.00%,100.00%,60.00%,60.00%,60.00%
Disability status,60.00%,20.00%,20.00%,60.00%,20.00%,40.00%,80.00%,80.00%,80.00%,60.00%,80.00%,100.00%,60.00%,40.00%,60.00%
Driver's license,100.00%,100.00%,20.00%,60.00%,60.00%,80.00%,80.00%,20.00%,40.00%,80.00%,80.00%,100.00%,60.00%,60.00%,40.00%
Employment history,100.00%,100.00%,60.00%,40.00%,40.00%,100.00%,100.00%,100.00%,60.00%,80.00%,80.00%,100.00%,60.00%,40.00%,60.00%
Health insurance,20.00%,20.00%,20.00%,80.00%,40.00%,100.00%,100.00%,100.00%,80.00%,80.00%,80.00%,100.00%,60.00%,60.00%,60.00%
Marriage certificate,100.00%,100.00%,20.00%,80.00%,80.00%,80.00%,100.00%,100.00%,60.00%,80.00%,80.00%,100.00%,60.00%,60.00%,60.00%
Medical records,60.00%,20.00%,80.00%,80.00%,80.00%,100.00%,100.00%,100.00%,80.00%,80.00%,80.00%,100.00%,60.00%,60.00%,60.00%
Official Identity Document,40.00%,40.00%,0.00%,40.00%,20.00%,0.00%,60.00%,0.00%,0.00%,40.00%,80.00%,80.00%,40.00%,40.00%,0.00%
Prescriptions,20.00%,20.00%,80.00%,80.00%,80.00%,80.00%,100.00%,100.00%,80.00%,80.00%,80.00%,80.00%,60.00%,60.00%,60.00%
Professional licenses,100.00%,100.00%,20.00%,40.00%,80.00%,100.00%,100.00%,100.00%,80.00%,60.00%,80.00%,100.00%,60.00%,20.00%,60.00%
University transcript,100.00%,100.00%,60.00%,40.00%,40.00%,100.00%,100.00%,100.00%,60.00%,80.00%,80.00%,100.00%,60.00%,60.00%,60.00%
Visa,100.00%,100.00%,20.00%,80.00%,20.00%,40.00%,80.00%,80.00%,40.00%,40.00%,80.00%,100.00%,60.00%,60.00%,40.00%
