,Pharmacy,Online Doctors,Government,Job Portal,University,Air Travel,International Ground Travel,Car Rental,Bank,Real Estate,Gaming,E-commerce,Social Media,News,Payment Services
Bank credentials,0.00%,0.00%,20.00%,0.00%,20.00%,0.00%,0.00%,20.00%,20.00%,0.00%,20.00%,40.00%,0.00%,0.00%,20.00%
Birth certificate,0.00%,0.00%,60.00%,20.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Diploma,0.00%,0.00%,20.00%,60.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Disability status,40.00%,20.00%,40.00%,20.00%,20.00%,40.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
Driver's license,0.00%,0.00%,40.00%,20.00%,0.00%,0.00%,0.00%,40.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Employment history,0.00%,0.00%,20.00%,60.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Health insurance,40.00%,40.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Marriage certificate,0.00%,0.00%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Medical records,40.00%,40.00%,20.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Official Identity Document,0.00%,0.00%,40.00%,0.00%,20.00%,40.00%,0.00%,0.00%,20.00%,20.00%,40.00%,20.00%,0.00%,20.00%,40.00%
Prescriptions,60.00%,20.00%,20.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Professional licenses,0.00%,0.00%,40.00%,40.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
University transcript,0.00%,0.00%,20.00%,20.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
Visa,0.00%,0.00%,40.00%,0.00%,0.00%,20.00%,0.00%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%
