Group,Control Total #,Control Yes #,Control Yes %,With Assistant Total #,With Assistant Yes #,With Assistant Yes %,Diff %,Odds Ratio,p-Value
S3 user (mistake),35,7,20.00%,106,36,33.96%,-13.96%,0.486,0.1417
S3 user (correct),35,7,20.00%,872,60,6.88%,+13.12%,3.383,0.0111
S3 expert (mistake),35,7,20.00%,52,8,15.38%,+4.62%,1.375,0.5780
S3 expert (correct),35,7,20.00%,853,55,6.45%,+13.55%,3.627,0.0081
S5 expert (mistake),53,6,11.32%,38,3,7.89%,+3.43%,1.489,0.7297
S5 user (mistake),53,6,11.32%,36,10,27.78%,-16.46%,0.332,0.0552
S5 both (mistake),53,6,11.32%,42,12,28.57%,-17.25%,0.319,0.0388
S5 both (correct),53,6,11.32%,1036,72,6.95%,+4.37%,1.709,0.2657
S6 expert (mistake),44,40,90.91%,40,32,80.00%,+10.91%,2.500,0.2145
S6 user (mistake),44,40,90.91%,52,41,78.85%,+12.06%,2.683,0.1581
S6 both (mistake),44,40,90.91%,26,11,42.31%,+48.60%,13.636,0.0000
S6 both (correct),44,40,90.91%,1045,917,87.75%,+3.16%,1.396,0.6438
