Group,Control Total #,Control Yes #,Control Yes %,With Assistant Total #,With Assistant Yes #,With Assistant Yes %,Diff %,Odds Ratio,p-Value
S3 user (mistake),41,3,7.32%,46,9,19.57%,-12.25%,0.325,0.1258
S3 user (correct),41,3,7.32%,402,39,9.70%,-2.38%,0.735,0.7843
S3 expert (mistake),41,3,7.32%,18,5,27.78%,-20.46%,0.205,0.0487
S3 expert (correct),41,3,7.32%,389,31,7.97%,-0.65%,0.912,1.0000
S5 expert (mistake),42,4,9.52%,20,6,30.00%,-20.48%,0.246,0.0634
S5 user (mistake),42,4,9.52%,22,3,13.64%,-4.11%,0.667,0.6837
S5 both (mistake),42,4,9.52%,24,4,16.67%,-7.14%,0.526,0.4482
S5 both (correct),42,4,9.52%,475,41,8.63%,+0.89%,1.114,0.7764
S6 expert (mistake),49,36,73.47%,10,6,60.00%,+13.47%,1.846,0.4525
S6 user (mistake),49,36,73.47%,14,10,71.43%,+2.04%,1.108,1.0000
S6 both (mistake),49,36,73.47%,22,9,40.91%,+32.56%,4.000,0.0154
S6 both (correct),49,36,73.47%,503,425,84.49%,-11.02%,0.508,0.0666
