Scenario,Website,Category,Requested Credential,Control Total,Control #,Control %,Phase 1 Total,Phase 1 #,Phase 1 %,Test Method,P Value,P Value (BH),Test Stat,Expected Min,Odds Ratio (Haldane),OR CI Lower,OR CI Upper
S4 1,Medgate,Health Services,Medical Records,8,4,50.00%,200,171,85.50%,fisher_exact,0.02335466570613577,0.11677332853067886,0.1695906432748538,1.2692307692307692,0.17201166180758018,0.04398037684660383,0.6727548493048016
S4 2,X,Social Media,Official Id,10,2,20.00%,185,83,44.86%,fisher_exact,0.19083751331894477,0.5725125399568343,0.3072289156626506,4.358974358974359,0.3610426206410708,0.08558621097621377,1.5230464397541754
S4 3,Sixt,Car Rentals,Drivers License,10,10,100.00%,114,96,84.21%,fisher_exact,0.35498992071664337,0.7606926872499501,inf,1.4516129032258065,4.025906735751295,0.2259097683209895,71.74512711614234
S4 4,Universidad De Salamanca,University,Diploma,16,16,100.00%,131,87,66.41%,fisher_exact,0.0030990963537620413,0.02566351961530852,inf,4.789115646258503,16.782857142857143,0.9838966449326177,286.27427009555544
S4 5,Docmorris,Pharmacy,Health Insurance,9,7,77.78%,140,105,75.00%,fisher_exact,1.0,1.0,1.1666666666666667,2.2348993288590604,1.009478672985782,0.22955643512155136,4.439201151880342
S6 1,France Government,Government,Marriage Certificate,17,14,82.35%,137,58,42.34%,fisher_exact,0.003421802615374469,0.02566351961530852,6.35632183908046,7.9480519480519485,5.6300366300366305,1.6702797574844697,18.9772475619845
S6 2,Trainline,Ground Travel,Official Id,17,9,52.94%,143,70,48.95%,fisher_exact,0.8020874142161407,1.0,1.1732142857142858,8.39375,1.165206508135169,0.4367157211941087,3.1089016051178264
S6 3,Apotea,Pharmacy,Health Insurance,22,13,59.09%,115,83,72.17%,fisher_exact,0.3086702316522525,0.7606926872499501,0.5568942436412316,6.583941605839416,0.5531043176804287,0.21961680973536438,1.3929916685583756
S6 4,Sorbonne University,University,University Transcript,22,18,81.82%,130,99,76.15%,fisher_exact,0.7847968656379893,1.0,1.4090909090909092,5.065789473684211,1.3015075376884422,0.4309013799238279,3.9311126619257357
S6 5,Homedoctor,Health Services,Prescriptions,17,14,82.35%,184,150,81.52%,fisher_exact,1.0,1.0,1.0577777777777777,3.129353233830846,0.9496915045087803,0.2791171227225481,3.231310014014022
S6 6,Qare,Health Services,Medical Records,16,14,87.50%,188,163,86.70%,fisher_exact,1.0,1.0,1.0736196319018405,2.1176470588235294,0.9045871559633027,0.22182168294972845,3.688899623573875
S6 7,Delta Air Lines,Air Travel,Visa,11,8,72.73%,76,35,46.05%,fisher_exact,0.11778521726347022,0.44169456473801333,3.123809523809524,5.436781609195402,2.839034205231388,0.7561325356134931,10.659659304217337
S6 8,Dollar Rent A Car,Car Rentals,Drivers License,15,14,93.33%,121,110,90.91%,fisher_exact,1.0,1.0,1.4,1.3235294117647058,1.0060331825037707,0.16840364166599994,6.009981460531591
S6 9,Stepstone,Job Sites,Employment History,20,18,90.00%,68,60,88.24%,fisher_exact,1.0,1.0,1.2,2.272727272727273,1.0396694214876032,0.23123012227459802,4.674618061624024
S6 10,Euro-pharmas,Pharmacy,Prescriptions,21,20,95.24%,141,124,87.94%,fisher_exact,0.47239927506544266,0.885748640747705,2.7419354838709675,2.3333333333333335,1.9210174029451137,0.33998275086245094,10.85439732767796
