Group,Control yes %,With Assistant % (mistake),Diff %,Chi2,p-Value
S3 user (mistake),15.20%,22.79%,-7.59%,3.799,0.0513
S3 user (correct),15.20%,7.17%,+8.04%,14.274,0.0002
S3 expert (mistake),15.20%,19.09%,-3.89%,0.726,0.3942
S3 expert (correct),15.20%,7.00%,+8.21%,15.135,0.0001
S5 expert (mistake),9.04%,19.23%,-10.19%,6.091,0.0136
S5 user (mistake),9.04%,13.73%,-4.69%,1.481,0.2237
S5 both (mistake),9.04%,28.57%,-19.53%,18.894,0.0000
S5 both (correct),9.04%,6.47%,+2.57%,1.759,0.1848
S6 expert (mistake),79.78%,71.28%,+8.50%,2.497,0.1141
S6 user (mistake),79.78%,78.57%,+1.20%,0.061,0.8054
S6 both (mistake),79.78%,46.34%,+33.43%,29.459,0.0000
S6 both (correct),79.78%,86.86%,-7.09%,7.121,0.0076
