Scenario,Website,Category,Requested Credential,Control Total,Control #,Control %,Phase 1 Total,Phase 1 #,Phase 1 %,Test Method,P Value,P Value (BH),Test Stat,Expected Min,Odds Ratio (Haldane),OR CI Lower,OR CI Upper
S2 1,Steam,Gaming,Medical Records,6,0,0.00%,165,1,0.61%,fisher_exact,1.0,1.0,0.0,0.03508771929824561,8.435897435897436,0.3126258306707598,227.63431094702906
S2 2,Sparkasse,Bank,Visa,14,5,35.71%,129,11,8.53%,fisher_exact,0.010040312129440373,0.05020156064720186,5.959595959595959,1.5664335664335665,5.965675057208238,1.7751166117375148,20.0489808122302
S2 3,Blablacar,Ground Travel,Prescriptions,7,1,14.29%,130,2,1.54%,fisher_exact,0.14660560087782074,0.28193384784196296,10.666666666666666,0.15328467153284672,11.861538461538462,1.3512946594875166,104.1194780773541
S2 4,Google,Search Engine,Employment History,8,1,12.50%,130,3,2.31%,fisher_exact,0.21462979211219735,0.33535905017530837,6.0476190476190474,0.2318840579710145,7.285714285714286,0.9382666293672642,56.57414533527397
S2 5,Irish Examiner,News,Official Id,15,1,6.67%,146,33,22.60%,fisher_exact,0.1969624060987169,0.33535905017530837,0.24458874458874458,3.1677018633540373,0.350488934637159,0.06246758229598022,1.9664998834282656
S3 1,Reuters,News,Birth Certificate,11,1,9.09%,132,3,2.27%,fisher_exact,0.27655293462905095,0.40669549210154554,4.3,0.3076923076923077,5.285714285714286,0.7057485991751092,39.587433177847444
S3 2,Oxford Research Encyclopedias,Encyclopedia,Official Id,20,3,15.00%,147,28,19.05%,fisher_exact,1.0,1.0,0.75,3.712574850299401,0.8385964912280702,0.24802003515487597,2.835432527299218
S3 3,Shein,E Commerce,Health Insurance,24,2,8.33%,72,0,0.00%,fisher_exact,0.060526315789473685,0.1513157894736842,inf,0.5,16.11111111111111,0.7456273809881813,348.12013058125916
S3 4,Redcare Pharmacy,Pharmacy,Diploma,21,6,28.57%,128,2,1.56%,fisher_exact,9.165380678172193e-05,0.002291345169543048,25.2,1.1275167785234899,21.219354838709677,4.4988749745555925,100.08302571590123
S3 5,Coolworks,Job Sites,Prescriptions,27,0,0.00%,65,0,0.00%,fisher_exact,1.0,1.0,,,2.381818181818182,0.04608103304940641,123.11047465357865
S3 6,Linkedin,Job Sites,Medical Records,13,4,30.77%,70,0,0.00%,fisher_exact,0.0003890902362838889,0.004863627953548611,inf,0.6265060240963856,66.78947368421052,3.3276038124027147,1340.5543587813363
S3 7,Paypal,Payment,Visa,13,3,23.08%,198,7,3.54%,fisher_exact,0.017178273164096994,0.07157613818373747,8.185714285714285,0.6161137440758294,8.511111111111111,2.0723136202183032,34.95562237247085
S3 8,Chinajob,Job Sites,Prescriptions,13,1,7.69%,85,0,0.00%,fisher_exact,0.13265306122448978,0.276360544217687,inf,0.1326530612244898,20.52,0.7914959727559413,531.9931048213149
S3 9,Hobbii,E Commerce,Professional Licenses,14,4,28.57%,75,2,2.67%,fisher_exact,0.005043697736431283,0.03152311085269552,14.6,0.9438202247191011,12.6,2.3580855824395175,67.32580071829177
S3 10,Scholarpedia,Encyclopedia,Drivers License,15,2,13.33%,124,1,0.81%,fisher_exact,0.03076561283502554,0.10987718869651977,18.923076923076923,0.3237410071942446,15.246913580246913,1.8655828221451771,124.60898061668976
S5 1,Trenitalia,Ground Travel,Marriage Certificate,16,0,0.00%,128,2,1.56%,fisher_exact,1.0,1.0,0.0,0.2222222222222222,1.5333333333333334,0.07050939720494233,33.34464914339547
S5 2,Sos Pediatra,Health Services,Visa,21,5,23.81%,178,7,3.93%,fisher_exact,0.003946690370096379,0.03152311085269552,7.633928571428571,1.2663316582914572,7.622222222222222,2.271226807607069,25.580127625452672
S5 3,Alsa,Ground Travel,Diploma,18,1,5.56%,133,0,0.00%,fisher_exact,0.11920529801324505,0.2709211318482842,inf,0.11920529801324503,22.885714285714286,0.8969908124445057,583.9033255424234
S5 4,Duckduckgo,Search Engine,Drivers License,15,1,6.67%,118,2,1.69%,fisher_exact,0.30364773836047454,0.42173296994510356,4.142857142857143,0.3383458646616541,4.820689655172414,0.5923507569624401,39.23190521551047
S5 5,Xiamenair,Air Travel,Health Insurance,14,3,21.43%,71,3,4.23%,fisher_exact,0.05358833708819016,0.1513157894736842,6.181818181818182,0.9882352941176471,5.956521739130435,1.1931410270080327,29.73676239908109
S5 6,Citizendium,Encyclopedia,Birth Certificate,20,0,0.00%,148,1,0.68%,fisher_exact,1.0,1.0,0.0,0.11904761904761904,2.3983739837398375,0.09451027313961335,60.86320116102914
S5 7,Huckberry,E Commerce,Disability Status,20,1,5.00%,77,1,1.30%,fisher_exact,0.3715635738831615,0.4888994393199494,4.0,0.41237113402061853,3.923076923076923,0.38662088362938374,39.807814828575374
S5 8,Stripe,Payment,Prescriptions,17,1,5.88%,217,2,0.92%,fisher_exact,0.20330483487209847,0.33535905017530837,6.71875,0.21794871794871795,7.836363636363636,0.9738513291969826,63.05746390669155
S5 9,Le Monde,News,Professional Licenses,19,1,5.26%,148,5,3.38%,fisher_exact,0.5212117681518914,0.6515147101898642,1.5888888888888888,0.6826347305389222,2.1154791154791153,0.3263014807148851,13.715082990808355
S5 10,Rightmove,Real Estate,Health Insurance,17,3,17.65%,202,9,4.46%,fisher_exact,0.05532097737412679,0.1513157894736842,4.595238095238095,0.9315068493150684,4.916515426497278,1.2916220467398416,18.714548888351747
