Scenario,Website,Category,Requested Credential,Control Total,Control #,Control %,Phase 1 Total,Phase 1 #,Phase 1 %,Test Method,P Value,P Value (BH),Test Stat,Expected Min,Odds Ratio (Haldane),OR CI Lower,OR CI Upper
S1 1,Lufthansa,Air Travel,Disability Status,13,11,84.62%,82,18,21.95%,fisher_exact,2.2266496549912773e-05,0.00011133248274956386,19.555555555555557,3.968421052631579,16.037837837837838,3.7165388893205455,69.20746699351949
S1 2,Totaljobs,Job Sites,Visa,13,5,38.46%,87,19,21.84%,fisher_exact,0.2930906102810374,0.3663632628512967,2.236842105263158,3.12,2.273001508295626,0.6951704991654801,7.432041294785059
S1 3,Uk Government,Government,Health Insurance,17,9,52.94%,139,51,36.69%,fisher_exact,0.2002974707518717,0.2861392439312453,1.9411764705882353,6.538461538461538,1.9206167904054825,0.7157407991610147,5.153777540572509
S1 4,Seloger,Real Estate,Employment History,12,5,41.67%,196,22,11.22%,fisher_exact,0.010637591776050613,0.02126025856585238,5.64935064935065,1.5576923076923077,5.687407407407408,1.739480154241559,18.595557379001136
S1 5,Playstation,Gaming,Official Id,18,2,11.11%,207,90,43.48%,fisher_exact,0.01045137438357498,0.02126025856585238,0.1625,7.36,0.19671856688431275,0.05058276440615757,0.7650470473754298
S1 6,Kry,Health Services,Medical Records,11,10,90.91%,177,153,86.44%,fisher_exact,1.0,1.0,1.5686274509803921,1.4627659574468086,1.1172638436482085,0.19161159150872442,6.51462934207053
S1 7,Flixbus,Ground Travel,Visa,21,10,47.62%,124,12,9.68%,fisher_exact,0.00010626804886409722,0.00035422682954699074,8.484848484848484,3.1862068965517243,8.217391304347826,2.9617060379160813,22.799534789848238
S1 8,Germany Government,Government,Drivers License,15,15,100.00%,152,61,40.13%,fisher_exact,3.239645508310143e-06,3.239645508310143e-05,inf,6.826347305389222,46.1219512195122,2.7090395172918345,785.235641900717
S1 9,Utrecht University,University,University Transcript,16,16,100.00%,152,110,72.37%,fisher_exact,0.012756155139511427,0.02126025856585238,inf,4.0,12.692307692307692,0.7447539329632251,216.30590645590806
S1 10,Teleclinic,Health Services,Health Insurance,9,8,88.89%,216,181,83.80%,fisher_exact,1.0,1.0,1.5469613259668509,1.44,1.108356290174472,0.18828408721971399,6.524468870998116
